State,Perc_christian,Total_sample,Location,Governor Political Affiliation,State Senate Majority Political Affiliation,State House Majority Political Affiliation,State Attorney General Political Affiliation,State Insurance Commissioner Political Affiliation,Location,Status of Reopening,Stay at Home Order,Mandatory Quarantine for Travelers,Non-Essential Business Closures,Large Gatherings Ban,Restaurant Limits,Bar Closures,Face Covering Requirement,Emergency Declaration
Alabama,0.86,511,Alabama,Republican,Republican,Republican,Republican,Appointed,Alabama,Paused,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Alaska,0.62,310,Alaska,Republican,Republican,Republican,Appointed,Appointed,Alaska,Proceeding with Reopening,Lifted,All Travelers,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes
Arizona,0.67,653,Arizona,Republican,Republican,Republican,Republican,Appointed,Arizona,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,New Service Limits,Newly Closed,Required for Certain Employees; Allows Local Officials to Require for General Public,Yes
Arkansas,0.79,311,Arkansas,Republican,Republican,Republican,Republican,Appointed,Arkansas,Paused,-,Lifted,-,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
California,0.63,"3,697",California,Democrat,Democrat,Democrat,Democrat,Democrat,California,Proceeding with Reopening,Statewide,-,New Business Closures or Limits,All Gatherings Prohibited,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Colorado,0.64,504,Colorado,Democrat,Democrat,Democrat,Democrat,Appointed,Colorado,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Connecticut,0.70,377,Connecticut,Democrat,Democrat,Democrat,Democrat,Appointed,Connecticut,Proceeding with Reopening,Lifted,From Certain States (New),All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Delaware,0.69,301,Delaware,Democrat,Democrat,Democrat,Democrat,Democrat,Delaware,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
District of Columbia,0.65,303,District of Columbia,Democrat,Democrat,N/A,Democrat,Appointed,District of Columbia,Proceeding with Reopening,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Florida,0.70,"2,020",Florida,Republican,Republican,Republican,Republican,Appointed,Florida,Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes
Georgia,0.79,968,Georgia,Republican,Republican,Republican,Republican,Appointed,Georgia,Proceeding with Reopening,Rolled Back to High Risk Groups,-,All Non-Essential Businesses Permitted to Reopen,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees; Allows Local Officials to Require for General Public,Yes
Hawaii,0.63,312,Hawaii,Democrat,Democrat,Democrat,Appointed,Appointed,Hawaii,New Restrictions Imposed,New Stay at Home Order,All Travelers,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,New Service Limits,New Service Limits,Required for General Public,Yes
Idaho,0.67,320,Idaho,Republican,Republican,Republican,Republican,Appointed,Idaho,Reopened,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,-,Yes
Illinois,0.71,"1,326",Illinois,Democrat,Democrat,Democrat,Democrat,Appointed,Illinois,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Indiana,0.72,654,Indiana,Republican,Republican,Republican,Republican,Appointed,Indiana,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Iowa,0.77,330,Iowa,Republican,Republican,Republican,Democrat,Appointed,Iowa,Reopened,-,-,All Non-Essential Businesses Permitted to Reopen,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Yes
Kansas,0.76,307,Kansas,Democrat,Republican,Republican,Republican,Republican,Kansas,Reopened,Lifted,From Certain States,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Kentucky,0.76,439,Kentucky,Democrat,Republican,Republican,Republican,Appointed,Kentucky,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,New Service Limits,New Service Limits,Required for General Public,Yes
Louisiana,0.84,465,Louisiana,Democrat,Republican,Republican,Republican,Republican,Louisiana,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Maine,0.60,303,Maine,Democrat,Democrat,Democrat,Appointed,Appointed,Maine,Proceeding with Reopening,Lifted,All Travelers,Some Non-Essential Businesses Permitted to Reopen,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Maryland,0.69,644,Maryland,Republican,Democrat,Democrat,Democrat,Appointed,Maryland,Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Massachusetts,0.58,704,Massachusetts,Republican,Democrat,Democrat,Democrat,Appointed,Massachusetts,Proceeding with Reopening,Rolled Back to High Risk Groups,All Travelers,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
Michigan,0.70,982,Michigan,Democrat,Republican,Republican,Democrat,Appointed,Michigan,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Minnesota,0.74,563,Minnesota,Democrat,Republican,Democrat,Democrat,Appointed,Minnesota,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Mississippi,0.83,309,Mississippi,Republican,Republican,Republican,Democrat,Republican,Mississippi,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for Certain Employees,Yes
Missouri,0.77,642,Missouri,Republican,Republican,Republican,Appointed,Appointed,Missouri,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,-,Yes
Montana,0.65,312,Montana,Democrat,Republican,Republican,Republican,Republican,Montana,Proceeding with Reopening,Lifted,Lifted,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Nebraska,0.75,312,Nebraska,Republican,N/A,N/A,Republican,Appointed,Nebraska,Proceeding with Reopening,-,Rolled Back to International Travel,-,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for Certain Employees,Yes
Nevada,0.66,314,Nevada,Democrat,Democrat,Democrat,Democrat,Appointed,Nevada,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
New Hampshire,0.59,303,New Hampshire,Republican,Democrat,Democrat,Appointed,Appointed,New Hampshire,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,Allows Local Officals to Require for General Public,Yes
New Jersey,0.67,886,New Jersey,Democrat,Democrat,Democrat,Appointed,Appointed,New Jersey,New Restrictions Imposed,Lifted,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
New Mexico,0.75,312,New Mexico,Democrat,Democrat,Democrat,Democrat,Appointed,New Mexico,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Closed,Required for General Public,Yes
New York,0.60,"1,966",New York,Democrat,Democrat,Democrat,Democrat,Appointed,New York,Proceeding with Reopening,Rolled Back to High Risk Groups,From Certain States (New),Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
North Carolina,0.77,"1,022",North Carolina,Democrat,Republican,Republican,Democrat,Republican,North Carolina,Proceeding with Reopening,Lifted,-,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
North Dakota,0.77,338,North Dakota,Republican,Republican,Republican,Republican,Republican,North Dakota,Reopened,-,Lifted,All Non-Essential Businesses Permitted to Reopen,-,Reopened to Dine-in Service,Reopened,-,Yes
Ohio,0.73,"1,132",Ohio,Republican,Republican,Republican,Republican,Appointed,Ohio,Proceeding with Reopening,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Oklahoma,0.79,391,Oklahoma,Republican,Republican,Republican,Republican,Republican,Oklahoma,Reopened,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Lifted,Reopened to Dine-in Service with Capacity Limits,Reopened,-,Yes
Oregon,0.61,419,Oregon,Democrat,Democrat,Democrat,Democrat,Appointed,Oregon,New Restrictions Imposed,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,New Limit on Large Gatherings in Place,New Service Limits,New Service Limits,Required for General Public,Yes
Pennsylvania,0.73,"1,366",Pennsylvania,Democrat,Republican,Republican,Democrat,Appointed,Pennsylvania,New Restrictions Imposed,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,New Service Limits,Newly Closed,Required for General Public,Yes
Rhode Island,0.75,305,Rhode Island,Democrat,Democrat,Democrat,Democrat,Appointed,Rhode Island,New Restrictions Imposed,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,New Service Limits,Required for General Public,Yes
South Carolina,0.78,495,South Carolina,Republican,Republican,Republican,Republican,Appointed,South Carolina,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,Lifted,New Service Limits,New Service Limits,Allows Local Officals to Require for General Public,Yes
South Dakota,0.79,305,South Dakota,Republican,Republican,Republican,Republican,Appointed,South Dakota,Reopened,-,-,-,Lifted,-,Reopened,-,Yes
Tennessee,0.81,661,Tennessee,Republican,Republican,Republican,Appointed,Appointed,Tennessee,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Allows Local Officals to Require for General Public,Yes
Texas,0.77,"2,535",Texas,Republican,Republican,Republican,Republican,Appointed,Texas,New Restrictions Imposed,Lifted,Lifted,New Business Closures or Limits,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Newly Closed,Required for General Public,Yes
Utah,0.73,315,Utah,Republican,Republican,Republican,Republican,Appointed,Utah,Proceeding with Reopening,Lifted,Lifted,-,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes
Vermont,0.54,306,Vermont,Republican,Democrat,Democrat,Democrat,Appointed,Vermont,Proceeding with Reopening,Lifted,Rolled Back to Certain States,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to 25 or Fewer,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Virginia,0.73,882,Virginia,Democrat,Democrat,Democrat,Democrat,Appointed,Virginia,Proceeding with Reopening,Lifted,-,All Non-Essential Businesses Permitted to Reopen with Reduced Capacity,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Closed,Required for General Public,Yes
Washington,0.61,714,Washington,Democrat,Democrat,Democrat,Democrat,Democrat,Washington,Paused,Lifted,-,Some Non-Essential Businesses Permitted to Reopen,>10 People Prohibited,New Service Limits,Closed,Required for General Public,Yes
West Virginia,0.78,309,West Virginia,Republican,Republican,Republican,Republican,Appointed,West Virginia,New Restrictions Imposed,Lifted,Lifted,Some Non-Essential Businesses Permitted to Reopen with Reduced Capacity,New Limit on Large Gatherings in Place,Reopened to Dine-in Service with Capacity Limits,Reopened,Required for General Public,Yes
Wisconsin,0.71,600,Wisconsin,Democrat,Republican,Republican,Democrat,Appointed,Wisconsin,Reopened,Lifted,-,All Non-Essential Businesses Permitted to Reopen,Lifted,Reopened to Dine-in Service,Reopened,Required for General Public,Yes
Wyoming,0.71,316,Wyoming,Republican,Republican,Republican,Appointed,Appointed,Wyoming,Proceeding with Reopening,-,Lifted,-,Expanded Limit to Greater Than 25,Reopened to Dine-in Service,Reopened,Required for Certain Employees,Yes